Title,Avg rating,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type
Power Grid Deluxe: Europe/North America,7.95,71.83,2014,3.19,2,6,120,120,12,Strategy
Dungeon Petz,7.41,40.28,2011,3.62,2,4,90,90,13,Strategy
Age of Empires III: The Age of Discovery,7.51,219.95,2007,3.13,2,5,90,120,10,Strategy
Telestrations,7.38,31.99,2009,1.07,4,8,30,30,12,Party
Onitama,7.36,29.99,2014,1.66,2,2,15,20,10,Strategy
Space Alert,7.4,77.95,2008,2.97,1,5,30,30,12,Thematic
Bitoku,7.86,56.65,2021,3.71,1,4,120,120,12,Strategy
Oath: Chronicles of Empire & Exile,7.82,115.99,2021,4.11,1,6,45,150,10,Strategy
Nemo's War (Second Edition),7.86,40,2017,3.27,1,4,60,120,13,Thematic
Imperial Settlers,7.33,35.95,2014,2.77,1,4,45,90,10,Strategy
Fury of Dracula (Third/Fourth Edition),7.44,42.33,2015,3.28,2,5,120,180,14,Thematic
Glass Road,7.45,111,2013,2.95,1,4,20,80,13,Strategy
Kemet: Blood and Sand,8.01,89.99,2021,3.23,2,5,90,120,13,Strategy
The King's Dilemma,7.8,59.99,2019,2.26,3,5,45,60,14,Thematic
Summoner Wars: Master Set,7.48,195,2011,2.52,2,4,30,60,9,Abstract
"Mind MGMT: The Psychic Espionage ""Game""",7.99,79.98,2021,2.9,1,5,45,75,13,Strategy
Imperial 2030,7.65,72.63,2009,3.51,2,6,120,180,12,Strategy
Aeon's End: The New Age,8.54,48.9,2019,2.95,1,4,60,60,14,Strategy
Arkham Horror (Third Edition),7.7,55.37,2018,3.35,1,6,120,180,14,Thematic
Runewars,7.61,62,2010,3.79,2,4,180,240,14,Strategy
Century: Spice Road,7.31,39.99,2017,1.8,2,5,30,45,8,Family
Alien Frontiers,7.37,84.85,2010,2.57,2,4,90,90,13,Strategy
Survive: Escape from Atlantis!,7.32,39.99,1982,1.7,2,4,45,60,8,Family
Tikal,7.33,59.99,1999,2.78,2,4,90,90,10,Strategy
Heaven & Ale,7.55,114.27,2017,3.2,2,4,60,90,12,Strategy
Love Letter,7.22,19.78,2012,1.19,2,4,20,20,10,Family
Bruges,7.42,34.76,2013,2.75,2,4,60,60,13,Strategy
Lost Cities,7.23,21.78,1999,1.48,2,2,30,30,10,Family
For Sale,7.25,26.43,1997,1.25,3,6,30,30,10,Family
Tiny Epic Galaxies,7.34,28.33,2015,2.15,1,5,30,45,14,Strategy
Exit: The Game – The Abandoned Cab,7.43,14.99,2016,2.55,1,6,60,120,12,Thematic
The Great Zimbabwe,7.83,135.75,2012,3.69,2,5,90,150,14,Strategy
Acquire,7.34,44.91,1963,2.5,2,6,90,90,12,Strategy
Long Shot: The Dice Game,7.68,23.42,2022,1.91,1,8,25,25,14,Family
Bunny Kingdom,7.43,52.99,2017,2.3,2,4,40,60,12,Family
Destinies,7.76,47.98,2021,1.9,1,3,90,150,14,Thematic
Burgle Bros.,7.45,47.62,2015,2.31,1,4,45,90,12,Family
Awkward Guests: The Walton Case,7.59,41.99,2016,2.32,1,8,45,75,12,Family
Antiquity,7.85,19.63,2004,4.32,2,4,120,180,14,Strategy
Star Wars: The Deckbuilding Game,7.95,21.9,2023,2.02,2,2,30,30,12,Strategy
Dead of Winter: The Long Night,7.54,64.95,2016,3.35,2,5,60,120,14,Thematic
Tiletum,7.96,59.99,2022,3.41,1,4,60,100,14,Strategy
Above and Below,7.37,37.49,2015,2.53,2,4,90,90,13,Thematic
Small World,7.21,49.89,2009,2.35,2,5,40,80,8,Family
The King Is Dead: Second Edition,7.67,40,2020,2.12,2,4,30,45,14,Strategy
Arboretum,7.3,21.99,2015,2.14,2,4,30,30,8,Family
Bonfire,7.68,45.39,2020,3.64,1,4,70,100,12,Strategy
Merchants & Marauders,7.4,64.97,2010,3.25,2,4,180,180,13,Thematic
Nusfjord,7.64,61.08,2017,2.84,1,5,20,100,12,Strategy
Neuroshima Hex! 3.0,7.39,39.27,2006,2.61,1,4,30,30,13,Strategy
